"name","url","scanned","genre-name","genre-url","subgenre-name","subgenre-url"
"Afro-Cuban","https://www.allmusic.com/style/afro-cuban-ma0000004549","true","Latin","/genre/latin-ma0000002692","Cuban Traditions","/subgenre/cuban-traditions-ma0000002540"
"Cuban Traditions","https://www.allmusic.com/style/cuban-traditions-ma0000002540","true","Latin","/genre/latin-ma0000002692",,
"French Chanson","https://www.allmusic.com/style/french-chanson-ma0000002605","true","International","/genre/international-ma0000002660","Western European Traditions","/subgenre/western-european-traditions-ma0000004467"
"French Pop","https://www.allmusic.com/style/french-pop-ma0000012177","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"French Rock","https://www.allmusic.com/style/french-rock-ma0000011853","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"French","https://www.allmusic.com/style/french-ma0000002600","true","International","/genre/international-ma0000002660","Western European Traditions","/subgenre/western-european-traditions-ma0000004467"
"Western European Traditions","https://www.allmusic.com/style/western-european-traditions-ma0000004467","true","International","/genre/international-ma0000002660",,
"Chamber Music","https://www.allmusic.com/style/chamber-music-ma0000004500","true","Classical","/genre/classical-ma0000002521",,
"Keyboard","https://www.allmusic.com/style/keyboard-ma0000011828","true","Classical","/genre/classical-ma0000002521",,
"Concerto","https://www.allmusic.com/style/concerto-ma0000012338","true","Classical","/genre/classical-ma0000002521",,
"Experimental Jungle","https://www.allmusic.com/style/experimental-jungle-ma0000012176","true","Electronic","/genre/electronic-ma0000002572","Jungle/Drum'n'Bass","/subgenre/jungle-drumnbass-ma0000002557"
"Jungle/Drum'n'Bass","https://www.allmusic.com/style/jungle-drumnbass-ma0000002557","true","Electronic","/genre/electronic-ma0000002572",,
"Ambient","https://www.allmusic.com/style/ambient-ma0000002424","true","New Age","/genre/new-age-ma0000002745",,
"Ambient Techno","https://www.allmusic.com/style/ambient-techno-ma0000012032","true","Electronic","/genre/electronic-ma0000002572","Techno","/subgenre/techno-ma0000002893"
"Experimental Techno","https://www.allmusic.com/style/experimental-techno-ma0000012244","true","Electronic","/genre/electronic-ma0000002572","Techno","/subgenre/techno-ma0000002893"
"IDM","https://www.allmusic.com/style/idm-ma0000004477","true","Electronic","/genre/electronic-ma0000002572","Experimental Electronic","/subgenre/experimental-electronic-ma0000012210"
"Bop","https://www.allmusic.com/style/bop-ma0000002457","true","Jazz","/genre/jazz-ma0000002674",,
"Hard Bop","https://www.allmusic.com/style/hard-bop-ma0000002634","true","Jazz","/genre/jazz-ma0000002674",,
"Jazz Instrument","https://www.allmusic.com/style/jazz-instrument-ma0000002947","true","Jazz","/genre/jazz-ma0000002674",,
"Doom Metal","https://www.allmusic.com/style/doom-metal-ma0000004496","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Scandinavian Metal","https://www.allmusic.com/style/scandinavian-metal-ma0000012324","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Experimental Rock","https://www.allmusic.com/style/experimental-rock-ma0000002583","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Indie Electronic","https://www.allmusic.com/style/indie-electronic-ma0000012275","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Death Metal","https://www.allmusic.com/style/death-metal-ma0000002547","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Black Metal","https://www.allmusic.com/style/black-metal-ma0000002463","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Symphonic Black Metal","https://www.allmusic.com/style/symphonic-black-metal-ma0000012290","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Goth Metal","https://www.allmusic.com/style/goth-metal-ma0000011855","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Rap-Metal","https://www.allmusic.com/style/rap-metal-ma0000002817","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"House","https://www.allmusic.com/style/house-ma0000002651","true","Electronic","/genre/electronic-ma0000002572",,
"Minimal Techno","https://www.allmusic.com/style/minimal-techno-ma0000004478","true","Electronic","/genre/electronic-ma0000002572","Techno","/subgenre/techno-ma0000002893"
"Stoner Metal","https://www.allmusic.com/style/stoner-metal-ma0000011961","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Sludge Metal","https://www.allmusic.com/style/sludge-metal-ma0000012161","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"British Metal","https://www.allmusic.com/style/british-metal-ma0000012103","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"New Wave of British Heavy Metal","https://www.allmusic.com/style/new-wave-of-british-heavy-metal-ma0000004491","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Country Gospel","https://www.allmusic.com/style/country-gospel-ma0000002534","true","Country","/genre/country-ma0000002532",,
"Country-Pop","https://www.allmusic.com/style/country-pop-ma0000004416","true","Country","/genre/country-ma0000002532",,
"Cowboy","https://www.allmusic.com/style/cowboy-ma0000002538","true","Country","/genre/country-ma0000002532",,
"Gospel","https://www.allmusic.com/style/gospel-ma0000002622","true","Religious","/genre/religious-ma0000004431",,
"Rockabilly","https://www.allmusic.com/style/rockabilly-ma0000002831","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Traditional Country","https://www.allmusic.com/style/traditional-country-ma0000004474","true","Country","/genre/country-ma0000002532",,
"Rock & Roll","https://www.allmusic.com/style/rock-roll-ma0000002829","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Country-Folk","https://www.allmusic.com/style/country-folk-ma0000012141","true","Country","/genre/country-ma0000002532",,
"Progressive Metal","https://www.allmusic.com/style/progressive-metal-ma0000002797","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Blues-Rock","https://www.allmusic.com/style/blues-rock-ma0000002468","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"British Blues","https://www.allmusic.com/style/british-blues-ma0000002482","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Regional Blues","https://www.allmusic.com/style/regional-blues-ma0000002821","true","Blues","/genre/blues-ma0000002467",,
"Singer/Songwriter","https://www.allmusic.com/style/singer-songwriter-ma0000002855","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Contemporary Folk","https://www.allmusic.com/style/contemporary-folk-ma0000012267","true","Folk","/genre/folk-ma0000002592",,
"Folk-Rock","https://www.allmusic.com/style/folk-rock-ma0000002593","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Neo-Psychedelia","https://www.allmusic.com/style/neo-psychedelia-ma0000012252","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Post-Punk","https://www.allmusic.com/style/post-punk-ma0000004450","true","Pop/Rock","/genre/pop-rock-ma0000002613","Punk/New Wave","/subgenre/punk-new-wave-ma0000011872"
"Alternative Singer/Songwriter","https://www.allmusic.com/style/alternative-singer-songwriter-ma0000012100","true","Pop/Rock","/genre/pop-rock-ma0000002613","Singer/Songwriter","/subgenre/singer-songwriter-ma0000002855"
"Punk Metal","https://www.allmusic.com/style/punk-metal-ma0000012022","true","Pop/Rock","/genre/pop-rock-ma0000002613","Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"College Rock","https://www.allmusic.com/style/college-rock-ma0000012237","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"American Underground","https://www.allmusic.com/style/american-underground-ma0000012062","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Jangle Pop","https://www.allmusic.com/style/jangle-pop-ma0000012349","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Delta Blues","https://www.allmusic.com/style/delta-blues-ma0000002549","true","Blues","/genre/blues-ma0000002467",,
"Country Blues","https://www.allmusic.com/style/country-blues-ma0000002533","true","Blues","/genre/blues-ma0000002467",,
"Slide Guitar Blues","https://www.allmusic.com/style/slide-guitar-blues-ma0000004404","true","Blues","/genre/blues-ma0000002467",,
"Acoustic Blues","https://www.allmusic.com/style/acoustic-blues-ma0000012058","true","Blues","/genre/blues-ma0000002467",,
"Pre-War Blues","https://www.allmusic.com/style/pre-war-blues-ma0000002794","true","Blues","/genre/blues-ma0000002467",,
"Field Recordings","https://www.allmusic.com/style/field-recordings-ma0000012041","true","Folk","/genre/folk-ma0000002592",,
"Work Songs","https://www.allmusic.com/style/work-songs-ma0000012293","true","Blues","/genre/blues-ma0000002467",,
"Blues Revival","https://www.allmusic.com/style/blues-revival-ma0000012232","true","Blues","/genre/blues-ma0000002467",,
"Illbient","https://www.allmusic.com/style/illbient-ma0000012348","true","Electronic","/genre/electronic-ma0000002572","Downtempo","/subgenre/downtempo-ma0000004999"
"Dark Ambient","https://www.allmusic.com/style/dark-ambient-ma0000011972","true","Electronic","/genre/electronic-ma0000002572","Downtempo","/subgenre/downtempo-ma0000004999"
"Underground Rap","https://www.allmusic.com/style/underground-rap-ma0000002918","true","Rap","/genre/rap-ma0000002816","Alternative Rap","/subgenre/alternative-rap-ma0000012203"
"Psychobilly","https://www.allmusic.com/style/psychobilly-ma0000002801","true","Pop/Rock","/genre/pop-rock-ma0000002613","Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Rockabilly Revival","https://www.allmusic.com/style/rockabilly-revival-ma0000012051","true","Pop/Rock","/genre/pop-rock-ma0000002613",,
"Cool","https://www.allmusic.com/style/cool-ma0000002530","true","Jazz","/genre/jazz-ma0000002674",,
"Third Stream","https://www.allmusic.com/style/third-stream-ma0000012292","true","Jazz","/genre/jazz-ma0000002674",,
"Hardcore Punk","https://www.allmusic.com/style/hardcore-punk-ma0000002641","true","Pop/Rock","/genre/pop-rock-ma0000002613","Punk/New Wave","/subgenre/punk-new-wave-ma0000011872"
